ticker,date,time,headline,neg,neu,pos,compound
FCEL,2020-12-02,01:14PM,"Why FuelCell Energy, Plug Power, and Bloom Energy All Plunged Today",0.0,0.682,0.318,0.4939
FCEL,2020-12-02,11:09AM,FuelCell Energy stock drops after share offering,0.0,0.538,0.462,0.5106
FCEL,2020-12-02,10:22AM,FuelCell Announces Share Offering with Price Below Tuesday's Close; Shares Dive,0.0,0.672,0.328,0.5267
FCEL,2020-12-02,09:13AM,"FuelCell (FCEL) Issues Equity to Repay Debt, Fund Projects",0.238,0.762,0.0,-0.3612
FCEL,2020-12-02,07:58AM,A Hard Lesson in Green Energy Stocks,0.187,0.533,0.28,0.1779
FCEL,2020-12-01,09:49PM,FuelCell Energy Announces Pricing of Offering of Common Stock,0.0,0.792,0.208,0.2732
FCEL,2020-12-01,04:46PM,FuelCell Energy Announces Launch of Offering of Common Stock,0.0,0.792,0.208,0.2732
FCEL,2020-12-01,01:14PM,"Why Plug Power, FuelCell Energy, and Blink Charging Stocks All Plunged Today",0.0,0.84,0.16,0.2732
FCEL,2020-12-01,11:47AM,Implied Volatility Surging for FuelCell Energy (FCEL) Stock Options,0.0,0.464,0.536,0.8442
FCEL,2020-11-30,05:54PM,"FuelCell Energy, Aurora Cannabis Finish November Strong as Markets Sink",0.0,0.597,0.403,0.6597
FCEL,2020-11-30,01:35PM,"Why Plug Power, Bloom Energy, and FuelCell Energy Stocks Plunged Today -- Then Mostly Recovered",0.0,0.756,0.244,0.4939
FCEL,2020-11-30,09:12AM,3 Alternative Energy Stocks Braving Industry Headwinds,0.0,0.704,0.296,0.2732
FCEL,2020-11-24,12:58PM,Why Hydrogen Fuel Cell Stocks Are Soaring Today,0.0,1.0,0.0,0.0
FCEL,2020-11-24,12:56PM,PreMarket Prep Stock Of The Day: FuelCell Energy,0.0,0.769,0.231,0.2732
FCEL,2020-11-24,09:40AM,Analyzing FuelCell Energy's Unusual Options Activity,0.0,1.0,0.0,0.0
FCEL,2020-11-23,04:22PM,"Why FuelCell Energy, Ballard Power Systems, and Eos Energy Enterprises Jumped on Monday",0.0,0.495,0.505,0.8807
FCEL,2020-11-23,12:34PM,Are You Looking For ESG Stocks To Buy Right Now? Here's How 6 Small-Cap Stocks Have Performed In 2020 So Far,0.0,1.0,0.0,0.0
FCEL,2020-11-20,09:00AM,FuelCell Energy (FCEL) in Focus: Stock Moves 5.1% Higher,0.0,0.464,0.536,0.8442
FCEL,2020-11-19,01:07PM,Why Hydrogen Fuel Cell Stocks Jumped -- Then Gave Most of It Back -- on Thursday,0.0,0.714,0.286,0.7906
FCEL,2020-11-19,10:08AM,"FuelCells stock has rallied too much to keep recommend buying, analyst says",0.0,0.815,0.185,0.3612
FCEL,2020-11-19,08:53AM,FuelCell Energized Even After J.P. Morgan Cut to Neutral,0.169,0.565,0.266,0.296
FCEL,2020-11-18,02:28PM,"Why General Motors, FuelCell Energy, and Workhorse Group Stocks All Soared on Wednesday",0.0,0.851,0.149,0.2732
FCEL,2020-11-18,02:02PM,"FuelCell Energy, Lordstown Gains Point to the Nasdaq's Future",0.0,0.609,0.391,0.5423
FCEL,2020-11-18,01:17PM,FuelCell's stock doubles in 4 days on increasing volume,0.0,1.0,0.0,0.0
FCEL,2020-11-17,12:34PM,Why FuelCell Energy Stock Just Popped 12%,0.0,0.741,0.259,0.2732
FCEL,2020-11-16,11:44AM,"Why Plug Power, Bloom Energy, and FuelCell Energy Stock All Soared Monday Morning",0.0,0.724,0.276,0.4939
FCEL,2020-11-13,03:14PM,Why Bloom Energy and FuelCell Energy Stocks Raced Higher Friday -- But Plug Power Plunged,0.0,0.541,0.459,0.8807
FCEL,2020-11-11,03:29PM,"Why Bloom Energy, FuelCell Energy, and Westport Fuel Systems Stocks All Rocketed on Wednesday",0.0,0.741,0.259,0.4939
FCEL,2020-11-06,01:51PM,6 Hydrogen Stocks To Buy For The Next Generation Of Travel,0.0,1.0,0.0,0.0
FCEL,2020-11-03,06:32PM,"Tesla, Bloom Energy stocks get an Election Day boost",0.0,0.593,0.407,0.5859
